service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_desc
hkir_5Z2-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,"szabad- és munkaszüneti napokon, kivéve december 24-én és 31-én"
hkir_6-2024-10-05_2024-10-06,0,0,0,0,0,0,0,20241005,20241005,szombati napokon
hkir_602-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,keddi és pénteki munkanapokon
hkir_603-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,szerdai és pénteki munkanapokon
hkir_618-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"iskolai előadási napokon, kivéve csütörtökön"
hkir_621-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241031,20241031,tanszünetben csütörtöki munkanapokon
hkir_627-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241023,20241101,"munkaszüneti napokon, kivéve a hetek első iskolai előadási napját megelőző munkaszüneti napokon"
hkir_629-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241003,20241212,iskolai előadási napokon csütörtökön
hkir_633-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241211,szerdai munkanapokon és szabadnapokon
hkir_647-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241025,április 24-től október 25-ig munkanapokon
hkir_648-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241214,október 26-tól április 23-ig munkanapokon
hkir_65-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve tanszünetes munkanapokon"
hkir_651-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,szabadnapokon valamint tanszünetben munkanapokon
hkir_653-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"tanév tartama alatt naponta,nyári tanszünetben munkanapokon"
hkir_663-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"iskolai előadási napokon, valamint nyári tanszünetben szabadnapokon"
hkir_666-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241213,"iskolai előadási napokon, kivéve a hetek utolsó iskolai előadási napján"
hkir_667-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241027,20241208,"téli időszámítás tartama alatt szabad- és munkaszüneti napokon, kivéve december 24-én"
hkir_672-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241030,20241214,téli időszámítás alatt szerdai munkanapokon és szabadnapokon
hkir_6D3-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241013,20241208,Vásári napokon (minden hónap 2. és 4. vasárnapján)
hkir_6D4-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,Vásári napok kivételével naponta
hkir_6E8-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241103,Április 1-jétől június 30-ig illetve szeptember 1-jétől november 7-ig közlekedik munkaszüneti napokon.
hkir_6E9-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241109,20241130,November 8-tól március 31-ig közlekedik szabadnapokon
hkir_6F1-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,Hétfőtől szombatig
hkir_6F5-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,"Ápr.1-jétől jún.30-ig illetve szept.1-jétől nov.7-ig közlekedik munkanapokon, valamint nov.8-tól márc.31-ig pénteki munkanapokon"
hkir_6F6-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241102,Április 1-jétől június 30-ig illetve szeptember 1-jétől november 7-ig közlekedik szabadnapokon.
hkir_6F7-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241111,20241212,November 8-tól március 31-ig hétfőtől csütörtökig közlekedik munkanapokon
hkir_6J4-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,"naponta, kivéve iskolai előadási napokon"
hkir_6J5-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,"naponta, kivéve iskolai előadási napokon és december 24-én"
hkir_6J7-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,"munkaszüneti napokon, kivéve december 24-én"
hkir_6J8-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve december 24-én"
hkir_6J9-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve december 25-én"
hkir_6K1-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,"szabadnapokon, kivéve december 24-én"
hkir_6K2-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve munkaszüneti napokon és december 24-én"
hkir_6K3-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,"szabad- és munkaszüneti napokon, kivéve december 24-én"
hkir_6K4-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,"szabad- és munkaszüneti napokon, kivéve december 25-én"
hkir_6K5-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,"munkaszüneti napokon, kivéve december 25-én"
hkir_7*3-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240928,20241214,-/-/3/-/-/6/-
hkir_7*I-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240927,20241213,-/2/-/-/5/-/7
hkir_7*Q-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240928,20241214,1/-/-/4/-/6/-
hkir_7-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,vasárnapi napokon
hkir_7-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240929,20241208,vasárnapi napokon
hkir_702-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20241001,20241210,-/2/-/-/-/-/-
hkir_703-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20241002,20241211,-/-/3/-/-/-/-
hkir_705-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240927,20241213,-/-/-/-/5/-/-
